learners,metrics,0,1,2,3,4,5,6,7,8,9
Random,fit_time,0.001409292221069336,0.0014889240264892578,0.0008571147918701172,0.0014731884002685547,0.0013301372528076172,0.00077056884765625,0.0012485980987548828,0.001191854476928711,0.0007009506225585938,0.0007085800170898438
Random,score_time,0.00574040412902832,0.006125926971435547,0.003360271453857422,0.005895853042602539,0.005156517028808594,0.003042936325073242,0.0050966739654541016,0.005097627639770508,0.003082275390625,0.0030753612518310547
Random,test_Acc,0.375,0.625,0.5,0.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,1.0
Random,train_Acc,0.44642857142857145,0.39285714285714285,0.5344827586206896,0.46551724137931033,0.5517241379310345,0.4482758620689655,0.4482758620689655,0.5689655172413793,0.5517241379310345,0.5
Random,test_F1,0.6666666666666665,0.25,0.5714285714285715,0.4,0.5714285714285715,0.0,0.4,0.3333333333333333,0.5714285714285715,0.6666666666666666
Random,train_F1,0.5283018867924528,0.42857142857142855,0.4666666666666667,0.3703703703703704,0.6557377049180328,0.6451612903225807,0.45161290322580644,0.456140350877193,0.5882352941176471,0.41379310344827586
Random,test_Prec,0.25,0.5,0.5,0.6666666666666666,0.25,0.5,1.0,0.25,0.3333333333333333,0.25
Random,train_Prec,0.46153846153846156,0.5714285714285714,0.48,0.5294117647058824,0.3333333333333333,0.5,0.46153846153846156,0.37037037037037035,0.4838709677419355,0.43333333333333335
Random,test_Recall,0.0,0.75,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0
Random,train_Recall,0.5,0.5357142857142857,0.4482758620689655,0.6896551724137931,0.5172413793103449,0.5517241379310345,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.4827586206896552
Random,test_MCC,0.5,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,-0.4472135954999579,0.3333333333333333,-0.3333333333333333
Random,train_MCC,0.035921060405354976,-0.11065666703449761,0.1044465935734187,-0.035245368842512066,0.0,0.10344827586206896,0.14509525002200233,-0.034815531191139566,-0.03456505649101418,0.07106690545187014
Trivial,fit_time,0.0011098384857177734,0.0011293888092041016,0.0010514259338378906,0.0007472038269042969,0.0012271404266357422,0.0006842613220214844,0.0010259151458740234,0.0010986328125,0.0007281303405761719,0.0006954669952392578
Trivial,score_time,0.0048902034759521484,0.005057334899902344,0.004937887191772461,0.0035560131072998047,0.004871845245361328,0.0032253265380859375,0.00437617301940918,0.0052852630615234375,0.0032982826232910156,0.0030710697174072266
Trivial,test_Acc,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Trivial,train_Acc,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Trivial,test_F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trivial,train_F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trivial,test_Prec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trivial,train_Prec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trivial,test_Recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trivial,train_Recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trivial,test_MCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trivial,train_MCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBF-SVM,fit_time,0.0019540786743164062,0.001961231231689453,0.0021049976348876953,0.0033948421478271484,0.0015301704406738281,0.0018115043640136719,0.0017535686492919922,0.0017299652099609375,0.001506805419921875,0.0015716552734375
RBF-SVM,score_time,0.003665924072265625,0.004511356353759766,0.0047435760498046875,0.004376411437988281,0.003595590591430664,0.00432133674621582,0.004199504852294922,0.004058122634887695,0.003584623336791992,0.0032165050506591797
RBF-SVM,test_Acc,0.5,0.25,0.5,0.5,0.8333333333333334,0.5,0.5,0.8333333333333334,0.6666666666666666,0.6666666666666666
RBF-SVM,train_Acc,0.8214285714285714,0.8928571428571429,0.7068965517241379,0.7413793103448276,0.7758620689655172,0.8103448275862069,0.7758620689655172,0.7068965517241379,0.8275862068965517,0.7241379310344828
RBF-SVM,test_F1,0.5,0.0,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.7499999999999999,0.5
RBF-SVM,train_F1,0.8484848484848484,0.896551724137931,0.7733333333333333,0.7945205479452054,0.8169014084507042,0.8405797101449275,0.8169014084507042,0.7733333333333333,0.8529411764705882,0.7837837837837839
RBF-SVM,test_Prec,0.5,0.0,0.5,0.5,0.75,0.5,0.5,0.75,0.6,1.0
RBF-SVM,train_Prec,0.7368421052631579,0.8666666666666667,0.6304347826086957,0.6590909090909091,0.6904761904761905,0.725,0.6904761904761905,0.6304347826086957,0.7435897435897436,0.6444444444444445
RBF-SVM,test_Recall,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333
RBF-SVM,train_Recall,1.0,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RBF-SVM,test_MCC,0.0,-0.5773502691896258,0.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865476,0.4472135954999579,0.4472135954999579
RBF-SVM,train_MCC,0.6882472016116853,0.7877263614433762,0.5107539184552492,0.5640760748177662,0.6172133998483676,0.6708203932499369,0.6172133998483676,0.5107539184552492,0.6979824404521128,0.5374838498865699
RF,fit_time,0.017442703247070312,0.017586469650268555,0.015194177627563477,0.0178220272064209,0.017386436462402344,0.01502537727355957,0.017284393310546875,0.01766514778137207,0.015038490295410156,0.013681411743164062
RF,score_time,0.012223482131958008,0.012298583984375,0.010799884796142578,0.012680768966674805,0.012445688247680664,0.010410308837890625,0.012194156646728516,0.012610912322998047,0.010092973709106445,0.009767532348632812
RF,test_Acc,0.25,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666
RF,train_Acc,1.0,1.0,1.0,1.0,0.9655172413793104,0.9655172413793104,1.0,1.0,1.0,1.0
