count,e,i,e_gt,e_it
37245,10,0.160,10.5029150758491,0.509548984532997
9342,10,0.200,10.5070798544209,0.125766534338793
56576,10,0.030,10.4944514281674,0.703234671880731
21090,10,0.060,10.4995197724039,0.970809601359128
25383,10,0.080,10.4988937083875,0.976216136444672
13855,10,0.110,10.4915757488271,0.494433302264886
23480,10,0.120,10.5010591567292,1.01235130733146
30000,10,0.130,10.4941076,0.65332638976022
15002,10,0.140,10.5051157845621,0.138153554179989
11521,10,0.150,10.4901580591962,0.423192797009526
23334,10,0.170,10.5067819490872,0.769962421905399
20000,10,0.250,10.5124022,0.627416478081131
15773,10,0.750,10.4975635579788,1.00327860213538
6849,10,1.000,10.4889119579501,0.163736407531216
55200,10,1.250,10.494461539855,0.694406232218273
22806,10,1.500,10.5048498640709,0.531615376128913
65000,10,1.750,10.4957042,0.591257040847587
54670,10,2.500,10.4927648253155,0.833082504709485
1525,10,2.750,10.4974439344262,0.602365099606557
22979,10,3.000,10.4998815875364,0.788388019191147
20000,10,3.250,10.5030992,0.62591410923199
22806,10,4.000,10.4941719284399,0.817833303010545
16292,10,4.500,10.5067517800147,0.387766002280426
9619,10,5.500,10.5074268634993,0.58499769248505
10508,10,6.000,10.5098815188428,0.242308432057175
12239,10,7.000,10.5068476999755,0.277237547081911
20931,10,7.500,10.5066889302948,0.407585595565908
17275,10,8.000,10.5031424023155,1.0847730032921
2615,10,9.000,10.473995793499,0.303382130879847
70000,10,11.500,10.5057360571428,1.0650618985339
20000,10,13.000,10.501009,1.31930684024601
20000,10,13.500,10.4938251,1.56313512371322
20000,10,14.000,10.4973749,1.30026760678696
20000,10,14.500,10.492801,1.4264774156
23157,10,0.020,10.5046817377035,1.47671986042577
30000,10,0.040,10.5010388,0.837668846956915
16737,10,0.070,10.4947356157017,0.602839557334834
15032,10,0.090,10.4947163384779,0.601663609265035
11567,20,0.020,20.5101994467018,0.172430264069353
40159,20,0.120,20.4980906148062,1.06754217840657
25530,20,0.160,20.5006987857423,0.713488467075727
41411,20,0.180,20.5133866846972,0.931812145937592
28269,20,0.190,20.4944963033712,1.20703261486542
6465,20,0.030,20.4934083526682,0.269048504593689
12989,20,0.080,20.5080040033875,0.609459292349194
27796,20,0.140,20.5007590660527,0.906674474097521
13221,20,0.170,20.5155790787384,0.479969765958309
11089,20,0.250,20.506557309045,0.514008189147885
