ibl,ebl,count
0.01,30,-6408
0.01,40,-5126
0.01,60,-5300
0.01,80,-3849
0.01,90,-5458
0.01,100,-9136
0.01,140,-7047
0.01,150,-23055
0.01,160,-6997
0.01,200,-22366
0.01,210,-21099
0.01,250,-10491
0.02,10,-8449
0.02,20,-4082
0.02,30,-7343
0.02,50,-16754
0.02,70,-149
0.02,90,-3319
0.02,100,-9270
0.02,120,-3542
0.02,150,-15088
0.02,170,-5421
0.02,240,-20244
0.025,90,-1798
0.025,200,-7076
0.025,220,-5453
0.025,230,-7209
0.025,250,-3702
0.03,10,-20881
0.03,20,-2400
0.03,30,-1847
0.03,40,-9257
0.03,50,-5742
0.03,60,-10646
0.04,10,-11627
0.04,50,-8421
0.04,60,-9031
0.04,70,-1947
0.04,80,-4760
0.04,90,-9637
0.04,100,-11351
0.04,110,-5669
0.04,130,-21242
0.04,160,-7733
0.04,180,-5747
0.05,30,-9895
0.05,50,-5662
0.05,80,-3958
0.05,220,-9851
0.05,230,-7899
0.05,250,-3943
0.06,10,-8673
0.06,50,-10262
0.06,70,-9665
0.06,80,-10787
0.06,90,-4430
0.06,100,-6506
0.06,120,-8011
0.06,130,-14773
0.06,140,-4122
0.06,160,-24623
0.06,170,-6129
0.06,210,-24783
0.07,10,-6985
0.07,20,-1244
0.07,50,-6760
0.075,90,-16941
0.075,120,-6521
0.075,130,-7314
0.075,180,-8491
0.075,200,-8647
0.075,230,-5469
0.08,10,-11097
0.08,20,-5527
0.08,30,-4135
0.08,40,-9730
0.08,50,-2172
0.08,70,-6520
0.08,90,-6385
0.08,100,-5848
0.08,120,-6485
0.08,220,0
0.08,250,-30379
0.09,10,-6641
0.09,20,-2169
0.09,30,-7517
0.09,40,-2142
0.09,50,-11349
0.09,60,-4249
0.1,30,-7968
0.1,50,-4299
0.1,60,-4585
0.1,70,-4908
0.1,80,-12379
0.1,100,-19743
0.1,110,-4380
0.1,120,-4573
0.1,150,-6489
0.1,170,-6788
0.1,190,-25001
0.1,210,-5135
0.1,230,-6170
0.1,240,-9017
0.11,10,-6404
0.11,30,-13750
0.11,50,-534
0.11,60,-222
0.12,10,-11155
0.12,20,-19112
0.12,30,-3049
0.12,50,-2402
0.12,60,-3947
0.12,80,-8168
0.12,90,-6920
0.12,100,-4565
0.12,110,-29051
0.12,120,-9571
0.12,130,-9625
0.12,160,-23811
0.12,170,-7123
0.12,180,-28639
0.12,230,-9547
0.125,130,-19195
0.125,140,-4815
0.125,200,-5353
0.125,210,-9557
0.125,220,-4763
0.125,240,-4732
0.13,10,-14495
