ibl,ebl,count
0.01,20,0
0.01,30,-8120
0.01,40,-11894
0.01,60,-8875
0.01,80,-11150
0.01,90,-6297
0.01,100,-17086
0.01,140,-7595
0.01,150,-44036
0.01,160,-12486
0.01,200,-40856
0.01,210,-25422
0.01,250,-20992
0.02,10,-10506
0.02,20,-7770
0.02,30,-8626
0.02,50,-24080
0.02,70,-341
0.02,90,-6070
0.02,100,-13469
0.02,120,-3679
0.02,150,-22755
0.02,170,-11659
0.02,240,-30904
0.025,90,-1727
0.025,200,-18361
0.025,220,-9364
0.025,230,-10089
0.025,250,-9749
0.03,10,-31949
0.03,20,-2407
0.03,30,-3756
0.03,40,-9378
0.03,50,-8673
0.03,60,-16263
0.04,10,-14793
0.04,30,0
0.04,50,-11326
0.04,60,-13998
0.04,70,-1728
0.04,80,-6248
0.04,90,-11508
0.04,100,-18106
0.04,110,-10123
0.04,130,-33595
0.04,160,-11337
0.04,180,-6878
0.05,30,-12638
0.05,50,-7070
0.05,80,-3293
0.05,220,-10276
0.05,230,-17609
0.05,250,-3283
0.06,10,-10354
0.06,30,-2
0.06,50,-11960
0.06,70,-13386
0.06,80,-17831
0.06,90,-10846
0.06,100,-8023
0.06,120,-13768
0.06,130,-23003
0.06,140,-3357
0.06,160,-41180
0.06,170,-7372
0.06,210,-37023
0.07,10,-7703
0.07,20,-1989
0.07,50,-11415
0.075,90,-23378
0.075,120,-11485
0.075,130,-7925
0.075,180,-7186
0.075,200,-7768
0.075,230,-7327
0.08,10,-10463
0.08,20,-5659
0.08,30,-6276
0.08,40,-8456
0.08,50,-1666
0.08,70,-6427
0.08,90,-5217
0.08,100,-10149
0.08,120,-8360
0.08,220,0
0.08,250,-38480
0.09,10,-8216
0.09,20,-1718
0.09,30,-9124
0.09,40,-4208
0.09,50,-20353
0.09,60,-5798
0.1,30,-8146
0.1,50,-5272
0.1,60,-6738
0.1,70,-10686
0.1,80,-16645
0.1,100,-24931
0.1,110,-3559
0.1,120,-9978
0.1,150,-13319
0.1,170,-9448
0.1,180,-2
0.1,190,-38024
0.1,210,-6837
0.1,230,-6220
0.1,240,-13107
0.11,10,-10365
0.11,30,-15899
0.11,50,-1050
0.11,60,-172
0.12,10,-12876
