 ebl |   d(1,2)_true    | d(1,2)_inferred  
-----+------------------+------------------
   8 | 41.5809892585864 | 42.1078742800657
   8 | 42.9672820264894 | 37.2517410006064
   8 | 41.3608657671579 | 37.1925062986297
  10 | 46.5692968500039 | 36.4140913756103
  10 | 48.1678873033252 | 37.2551522982344
  10 | 46.4251594041856 | 40.6476173013308
  12 | 51.5724858312798 | 38.1644195897225
  12 | 52.5619868885881 | 39.7650058610628
  12 | 51.4144027659283 | 41.8718042512716
  14 | 56.4068440108926 | 43.1393840432973
  14 | 56.4277781888998 | 35.2671417924363
  15 | 58.8759561142651 |  37.863840842533
  15 | 60.9458360039074 | 39.1559079397166
  15 | 58.9279551605333 | 36.8359061494292
  20 | 71.4998856975619 | 36.6385136052239
  20 | 73.5057200636785 | 38.1450665773731
  20 | 71.4100893196737 | 36.9195816141605
  25 | 85.4366090512415 |  39.245225916247
  30 |  96.543971139387 | 40.0474718772199
  30 | 99.7379839230911 | 38.1436168944269
  30 | 96.4157814391611 | 36.9159668012278
