,"1,2","1,3","1,4","2,3","2,4","3,4"
0,181.458,186.636,226.10000000000002,186.636,226.10000000000002,226.10000000000002
1,181.054,186.16600000000003,226.16,186.16600000000003,226.16,226.16
2,180.464,186.13,226.755,186.13,226.755,226.755
3,180.766,186.664,226.258,186.664,226.258,226.25799999999998
4,180.31,187.514,227.34199999999998,187.514,227.34199999999998,227.34200000000004
5,180.462,186.254,226.808,186.254,226.808,226.808
6,180.776,186.191,226.913,186.191,226.913,226.914
7,180.426,187.629,226.23900000000003,187.629,226.23900000000003,226.238
8,180.342,187.138,233.22799999999998,187.138,233.22799999999998,233.228
9,180.804,190.51200000000003,227.79,190.51200000000003,227.79,227.79
10,180.13,189.632,229.397,189.632,229.397,229.397
11,183.388,186.902,230.106,186.902,230.106,230.106
12,180.708,186.112,226.20100000000002,186.112,226.20100000000002,226.20100000000002
13,180.622,186.04400000000004,226.98000000000002,186.04400000000004,226.98000000000002,226.98000000000002
14,181.364,186.316,227.538,186.316,227.538,227.538
15,181.332,188.409,226.603,188.409,226.603,226.60199999999998
16,180.27,186.469,226.011,186.469,226.011,226.01199999999997
17,180.392,187.732,226.25599999999997,187.732,226.25599999999997,226.25599999999997
18,180.658,186.05899999999997,226.39299999999997,186.05899999999997,226.39299999999997,226.394
19,184.076,186.702,227.303,186.702,227.303,227.303
20,181.55,186.175,227.069,186.175,227.069,227.06799999999998
21,180.02,186.924,226.644,186.924,226.644,226.644
22,181.244,186.796,226.41,186.796,226.41,226.41
23,180.244,188.328,226.63400000000001,188.328,226.63400000000001,226.63400000000001
24,180.416,186.951,227.219,186.951,227.219,227.22000000000003
25,180.68,186.233,226.233,186.233,226.233,226.23399999999998
26,180.172,186.138,226.026,186.138,226.026,226.026
27,180.876,186.061,228.99299999999997,186.061,228.99299999999997,228.992
28,181.028,186.388,227.284,186.388,227.284,227.284
29,181.156,187.169,227.555,187.169,227.555,227.55599999999998
30,182.348,186.778,227.038,186.778,227.038,227.038
31,180.146,186.114,226.21300000000002,186.114,226.21300000000002,226.213
32,180.372,186.026,227.144,186.026,227.144,227.144
33,181.662,186.279,228.15699999999998,186.279,228.15699999999998,228.15599999999998
34,181.272,186.197,229.74399999999997,186.197,229.74399999999997,229.745
35,181.466,189.282,226.888,189.282,226.888,226.888
36,180.498,186.938,226.65699999999998,186.938,226.65699999999998,226.65699999999998
37,181.05,186.037,227.599,186.037,227.599,227.598
38,180.158,186.507,227.715,186.507,227.715,227.716
