,"1,2","1,3","1,4","2,3","2,4","3,4"
0,0.605,0.608,0.651,0.601,0.638,0.643
1,0.597,0.601,0.642,0.603,0.651,0.64
2,0.569,0.588,0.638,0.612,0.65,0.651
3,0.596,0.598,0.635,0.6,0.64,0.632
4,0.613,0.584,0.649,0.612,0.662,0.638
5,0.613,0.621,0.676,0.613,0.673,0.669
6,0.6,0.615,0.651,0.629,0.66,0.665
7,0.603,0.626,0.641,0.641,0.66,0.667
8,0.616,0.604,0.654,0.632,0.668,0.677
9,0.616,0.655,0.668,0.623,0.649,0.663
10,0.571,0.604,0.638,0.591,0.621,0.635
11,0.627,0.632,0.659,0.659,0.681,0.693
12,0.583,0.606,0.647,0.595,0.636,0.654
13,0.58,0.607,0.63,0.592,0.624,0.654
14,0.614,0.622,0.645,0.595,0.643,0.635
15,0.591,0.6,0.656,0.605,0.657,0.67
16,0.596,0.603,0.618,0.591,0.614,0.655
17,0.613,0.617,0.654,0.618,0.648,0.648
18,0.585,0.602,0.641,0.605,0.647,0.649
19,0.583,0.591,0.651,0.575,0.632,0.643
20,0.602,0.599,0.646,0.61,0.627,0.631
21,0.617,0.621,0.665,0.609,0.66,0.662
22,0.596,0.614,0.646,0.621,0.64,0.647
23,0.606,0.595,0.647,0.614,0.666,0.636
24,0.584,0.59,0.631,0.597,0.64,0.627
25,0.609,0.613,0.66,0.587,0.642,0.639
26,0.606,0.61,0.652,0.615,0.64,0.652
27,0.611,0.617,0.655,0.604,0.641,0.626
28,0.612,0.631,0.655,0.61,0.65,0.659
29,0.606,0.623,0.664,0.608,0.652,0.64
30,0.602,0.632,0.655,0.608,0.646,0.676
31,0.573,0.606,0.637,0.573,0.627,0.617
32,0.586,0.612,0.641,0.617,0.651,0.635
33,0.622,0.594,0.662,0.619,0.669,0.644
34,0.587,0.599,0.669,0.591,0.657,0.658
35,0.628,0.613,0.635,0.599,0.63,0.63
36,0.602,0.62,0.636,0.601,0.638,0.628
37,0.585,0.592,0.625,0.592,0.649,0.637
38,0.624,0.625,0.668,0.631,0.654,0.661
39,0.633,0.6,0.648,0.599,0.65,0.633
40,0.616,0.622,0.647,0.621,0.64,0.648
41,0.641,0.64,0.654,0.64,0.664,0.66
42,0.586,0.589,0.619,0.586,0.612,0.63
43,0.595,0.603,0.638,0.601,0.618,0.643
44,0.598,0.61,0.674,0.591,0.661,0.643
45,0.589,0.619,0.674,0.592,0.644,0.649
46,0.625,0.617,0.659,0.633,0.657,0.66
47,0.584,0.582,0.632,0.598,0.629,0.615
48,0.576,0.589,0.617,0.605,0.641,0.632
49,0.577,0.608,0.667,0.596,0.649,0.661
50,0.596,0.589,0.638,0.61,0.646,0.652
51,0.568,0.591,0.641,0.583,0.65,0.645
52,0.583,0.581,0.626,0.589,0.632,0.641
53,0.606,0.623,0.66,0.609,0.649,0.658
54,0.572,0.585,0.621,0.584,0.637,0.641
55,0.616,0.61,0.662,0.599,0.631,0.618
56,0.599,0.591,0.655,0.613,0.658,0.653
57,0.6,0.585,0.626,0.604,0.623,0.629
58,0.607,0.612,0.636,0.619,0.646,0.635
59,0.602,0.601,0.66,0.589,0.654,0.662
60,0.609,0.612,0.629,0.616,0.637,0.626
61,0.616,0.583,0.648,0.591,0.655,0.62
62,0.59,0.609,0.638,0.614,0.623,0.652
63,0.619,0.612,0.671,0.607,0.661,0.656
64,0.616,0.625,0.651,0.624,0.666,0.655
65,0.595,0.582,0.635,0.581,0.641,0.632
66,0.625,0.623,0.653,0.634,0.676,0.65
67,0.55,0.611,0.633,0.599,0.63,0.65
68,0.623,0.613,0.65,0.618,0.649,0.661
69,0.593,0.619,0.64,0.601,0.638,0.648
70,0.606,0.613,0.647,0.609,0.636,0.641
71,0.608,0.59,0.634,0.605,0.632,0.609
72,0.614,0.622,0.664,0.624,0.638,0.644
73,0.588,0.617,0.63,0.588,0.627,0.647
74,0.596,0.613,0.663,0.607,0.642,0.65
75,0.564,0.598,0.632,0.593,0.62,0.625
76,0.59,0.615,0.654,0.598,0.628,0.657
77,0.619,0.634,0.651,0.611,0.64,0.624
78,0.609,0.618,0.652,0.614,0.661,0.655
79,0.607,0.606,0.64,0.611,0.664,0.644
80,0.596,0.624,0.636,0.607,0.63,0.652
81,0.571,0.575,0.622,0.561,0.625,0.622
82,0.607,0.607,0.659,0.61,0.658,0.639
83,0.582,0.605,0.628,0.596,0.615,0.633
84,0.63,0.621,0.676,0.617,0.659,0.643
85,0.556,0.579,0.639,0.577,0.621,0.613
86,0.597,0.606,0.642,0.603,0.647,0.637
87,0.579,0.62,0.644,0.612,0.638,0.641
88,0.619,0.622,0.656,0.614,0.669,0.656
89,0.595,0.595,0.661,0.6,0.666,0.653
90,0.587,0.6,0.643,0.601,0.64,0.66
91,0.602,0.616,0.678,0.608,0.649,0.651
92,0.605,0.604,0.652,0.582,0.645,0.629
93,0.603,0.618,0.645,0.615,0.645,0.655
94,0.592,0.612,0.634,0.586,0.619,0.623
95,0.601,0.604,0.636,0.641,0.655,0.627
96,0.581,0.627,0.642,0.607,0.639,0.65
97,0.586,0.623,0.634,0.618,0.624,0.65
98,0.572,0.597,0.635,0.614,0.618,0.623
99,0.594,0.613,0.632,0.588,0.647,0.653
100,0.603,0.605,0.664,0.6,0.644,0.657
101,0.608,0.577,0.647,0.602,0.633,0.635
102,0.599,0.598,0.665,0.599,0.658,0.661
103,0.587,0.617,0.664,0.618,0.643,0.672
104,0.619,0.607,0.66,0.61,0.651,0.654
105,0.588,0.586,0.638,0.589,0.632,0.639
106,0.573,0.597,0.634,0.594,0.629,0.632
107,0.603,0.603,0.638,0.604,0.63,0.626
108,0.633,0.639,0.664,0.619,0.661,0.649
109,0.593,0.604,0.632,0.589,0.617,0.625
110,0.585,0.584,0.624,0.582,0.63,0.635
111,0.606,0.612,0.65,0.61,0.672,0.659
112,0.6,0.612,0.664,0.621,0.684,0.668
113,0.574,0.581,0.628,0.579,0.599,0.617
114,0.566,0.561,0.642,0.568,0.647,0.632
115,0.604,0.61,0.64,0.606,0.636,0.648
116,0.591,0.61,0.656,0.583,0.638,0.658
117,0.588,0.619,0.634,0.596,0.621,0.615
118,0.619,0.603,0.662,0.609,0.642,0.654
119,0.612,0.624,0.644,0.613,0.655,0.638
120,0.592,0.599,0.658,0.626,0.668,0.662
121,0.587,0.601,0.648,0.58,0.621,0.63
122,0.606,0.61,0.639,0.613,0.646,0.656
123,0.601,0.601,0.632,0.593,0.644,0.641
124,0.582,0.602,0.651,0.607,0.661,0.649
125,0.613,0.633,0.665,0.604,0.65,0.644
126,0.577,0.6,0.633,0.597,0.632,0.634
127,0.611,0.598,0.644,0.602,0.647,0.65
128,0.566,0.56,0.615,0.549,0.629,0.619
129,0.624,0.599,0.677,0.615,0.676,0.661
130,0.598,0.621,0.655,0.607,0.662,0.672
131,0.595,0.618,0.672,0.602,0.645,0.667
132,0.584,0.617,0.647,0.62,0.644,0.643
133,0.583,0.575,0.627,0.601,0.633,0.643
134,0.584,0.596,0.636,0.621,0.635,0.657
135,0.563,0.577,0.626,0.578,0.62,0.607
136,0.586,0.599,0.657,0.602,0.647,0.646
137,0.613,0.611,0.67,0.602,0.668,0.663
