ebl,ibl,gtop,itop,count
10,0.16,"(4,(1,(2,3)));","(4,(1,(2,3)));",2059
10,0.16,"(4,(1,(2,3)));","(4,(2,(1,3)));",1931
10,0.16,"(4,(1,(2,3)));","(4,(3,(1,2)));",5305
10,0.16,"(4,(2,(1,3)));","(4,(1,(2,3)));",1920
10,0.16,"(4,(2,(1,3)));","(4,(2,(1,3)));",1871
10,0.16,"(4,(2,(1,3)));","(4,(3,(1,2)));",5091
10,0.16,"(4,(3,(1,2)));","(4,(1,(2,3)));",4147
10,0.16,"(4,(3,(1,2)));","(4,(2,(1,3)));",4015
10,0.16,"(4,(3,(1,2)));","(4,(3,(1,2)));",10906
10,0.199999999999999,"(4,(1,(2,3)));","(4,(1,(2,3)));",50
10,0.199999999999999,"(4,(1,(2,3)));","(4,(2,(1,3)));",44
10,0.199999999999999,"(4,(1,(2,3)));","(4,(3,(1,2)));",2084
10,0.199999999999999,"(4,(2,(1,3)));","(4,(1,(2,3)));",53
10,0.199999999999999,"(4,(2,(1,3)));","(4,(2,(1,3)));",58
10,0.199999999999999,"(4,(2,(1,3)));","(4,(3,(1,2)));",2020
10,0.199999999999999,"(4,(3,(1,2)));","(4,(1,(2,3)));",110
10,0.199999999999999,"(4,(3,(1,2)));","(4,(2,(1,3)));",155
10,0.199999999999999,"(4,(3,(1,2)));","(4,(3,(1,2)));",4768
10,0.0300000000000011,"(4,(1,(2,3)));","(4,(1,(2,3)));",3841
10,0.0300000000000011,"(4,(1,(2,3)));","(4,(2,(1,3)));",3831
10,0.0300000000000011,"(4,(1,(2,3)));","(4,(3,(1,2)));",9809
10,0.0300000000000011,"(4,(2,(1,3)));","(4,(1,(2,3)));",3968
10,0.0300000000000011,"(4,(2,(1,3)));","(4,(2,(1,3)));",3953
10,0.0300000000000011,"(4,(2,(1,3)));","(4,(3,(1,2)));",10292
10,0.0300000000000011,"(4,(3,(1,2)));","(4,(1,(2,3)));",4543
10,0.0300000000000011,"(4,(3,(1,2)));","(4,(2,(1,3)));",4490
10,0.0300000000000011,"(4,(3,(1,2)));","(4,(3,(1,2)));",11849
10,0.0600000000000023,"(4,(1,(2,3)));","(4,(1,(2,3)));",1608
10,0.0600000000000023,"(4,(1,(2,3)));","(4,(2,(1,3)));",1546
10,0.0600000000000023,"(4,(1,(2,3)));","(4,(3,(1,2)));",2994
10,0.0600000000000023,"(4,(2,(1,3)));","(4,(1,(2,3)));",1598
10,0.0600000000000023,"(4,(2,(1,3)));","(4,(2,(1,3)));",1532
10,0.0600000000000023,"(4,(2,(1,3)));","(4,(3,(1,2)));",3138
10,0.0600000000000023,"(4,(3,(1,2)));","(4,(1,(2,3)));",2215
10,0.0600000000000023,"(4,(3,(1,2)));","(4,(2,(1,3)));",2236
10,0.0600000000000023,"(4,(3,(1,2)));","(4,(3,(1,2)));",4223
10,0.0799999999999983,"(4,(1,(2,3)));","(4,(1,(2,3)));",2117
10,0.0799999999999983,"(4,(1,(2,3)));","(4,(2,(1,3)));",2076
10,0.0799999999999983,"(4,(1,(2,3)));","(4,(3,(1,2)));",2922
10,0.0799999999999983,"(4,(2,(1,3)));","(4,(1,(2,3)));",2202
10,0.0799999999999983,"(4,(2,(1,3)));","(4,(2,(1,3)));",1996
10,0.0799999999999983,"(4,(2,(1,3)));","(4,(3,(1,2)));",2972
10,0.0799999999999983,"(4,(3,(1,2)));","(4,(1,(2,3)));",3299
10,0.0799999999999983,"(4,(3,(1,2)));","(4,(2,(1,3)));",3229
10,0.0799999999999983,"(4,(3,(1,2)));","(4,(3,(1,2)));",4570
10,0.109999999999999,"(4,(1,(2,3)));","(4,(1,(2,3)));",428
10,0.109999999999999,"(4,(1,(2,3)));","(4,(2,(1,3)));",499
10,0.109999999999999,"(4,(1,(2,3)));","(4,(3,(1,2)));",2838
10,0.109999999999999,"(4,(2,(1,3)));","(4,(1,(2,3)));",473
10,0.109999999999999,"(4,(2,(1,3)));","(4,(2,(1,3)));",487
10,0.109999999999999,"(4,(2,(1,3)));","(4,(3,(1,2)));",2725
10,0.109999999999999,"(4,(3,(1,2)));","(4,(1,(2,3)));",828
10,0.109999999999999,"(4,(3,(1,2)));","(4,(2,(1,3)));",774
10,0.109999999999999,"(4,(3,(1,2)));","(4,(3,(1,2)));",4803
10,0.119999999999997,"(4,(1,(2,3)));","(4,(1,(2,3)));",1458
10,0.119999999999997,"(4,(1,(2,3)));","(4,(2,(1,3)));",1374
10,0.119999999999997,"(4,(1,(2,3)));","(4,(3,(1,2)));",3468
