ibl,ebl,count
0.01,20,3
0.01,30,18107
0.01,40,15461
0.01,60,15959
0.01,80,11187
0.01,90,15582
0.01,100,26351
0.01,140,20000
0.01,150,65669
0.01,160,20000
0.01,200,65000
0.01,210,61193
0.01,250,30043
0.02,10,23157
0.02,20,11567
0.02,30,20000
0.02,50,45247
0.02,70,421
0.02,90,9296
0.02,100,25465
0.02,120,10001
0.02,150,41527
0.02,170,15000
0.02,240,55265
0.025,90,5000
0.025,200,19266
0.025,220,15000
0.025,230,20000
0.025,250,10000
0.03,10,56576
0.03,20,6465
0.03,30,4834
0.03,40,25000
0.03,50,15554
0.03,60,29141
0.04,10,30000
0.04,30,5
0.04,50,21160
0.04,60,23067
0.04,70,5000
0.04,80,12248
0.04,90,25661
0.04,100,28856
0.04,110,15000
0.04,130,55000
0.04,160,20000
0.04,180,15000
0.05,30,24774
0.05,50,14302
0.05,80,10024
0.05,220,25000
0.05,230,20000
0.05,250,10000
0.06,10,21090
0.06,30,4
0.06,50,25661
0.06,70,23635
0.06,80,25781
0.06,90,11014
0.06,100,16185
0.06,120,20000
0.06,130,35669
0.06,140,10000
0.06,160,60000
0.06,170,15002
0.06,210,60088
0.07,10,16737
0.07,20,3026
0.07,50,16195
0.075,90,40000
0.075,120,15000
0.075,130,17218
0.075,180,20000
0.075,200,20000
0.075,230,12919
0.08,10,25383
0.08,20,12989
0.08,30,9620
0.08,40,22657
0.08,50,5000
0.08,70,15165
0.08,90,15129
0.08,100,13543
0.08,120,15000
0.08,220,1
0.08,250,70157
0.09,10,15032
0.09,20,5000
0.09,30,16773
0.09,40,4875
0.09,50,25874
0.09,60,9852
0.1,30,17757
0.1,50,9441
0.1,60,9841
0.1,70,10859
0.1,80,27644
0.1,100,45007
0.1,110,9606
0.1,120,10001
0.1,150,14269
0.1,170,15000
0.1,180,9
0.1,190,55000
0.1,210,11249
0.1,230,13503
0.1,240,20000
0.11,10,13855
0.11,30,29022
0.11,50,1090
0.11,60,483
0.12,10,23480
0.12,20,40159
0.12,30,6533
0.12,50,5000
0.12,60,8199
0.12,80,16737
0.12,90,14359
0.12,100,9635
0.12,110,60000
0.12,120,20000
0.12,130,20000
0.12,160,51189
0.12,170,15000
0.12,180,60177
0.12,230,20000
0.125,130,40000
0.125,140,10000
0.125,200,11112
0.125,210,20000
0.125,220,10000
0.125,240,10000
0.13,10,30000
0.13,20,14875
0.13,30,5063
0.13,40,5000
0.13,60,11448
0.14,10,15002
0.14,20,27796
0.14,30,15000
0.14,40,15833
0.14,50,2494
0.14,60,13089
0.14,70,22196
0.14,90,51540
0.14,100,55
0.14,110,45000
0.14,120,6017
0.14,130,20000
0.14,140,317
0.14,180,5003
0.14,240,10001
0.14,250,41017
0.15,10,11521
0.15,30,81409
0.15,50,20000
0.15,60,10189
0.15,80,20000
0.15,240,10002
0.15,250,10000
0.16,10,37245
0.16,20,25530
0.16,30,5000
0.16,40,24561
0.16,50,5000
0.16,60,16676
0.16,70,5000
0.16,80,14189
0.16,100,51510
0.16,110,19254
0.16,170,10001
0.17,10,23334
0.17,20,13221
0.17,60,23382
0.175,50,20000
0.175,230,20000
0.18,20,41411
0.18,40,21700
0.18,50,50427
0.18,60,27460
0.18,80,7703
0.18,100,27717
0.18,130,55000
0.18,140,20000
0.18,150,46269
0.18,180,10000
0.18,200,20000
0.18,210,15000
0.18,220,7304
0.18,240,20000
0.18,250,15000
0.19,20,28269
0.19,30,5000
0.19,60,4934
0.2,10,9342
0.2,30,19998
0.2,40,14042
0.2,50,15419
0.2,60,36947
0.2,70,13065
0.2,80,12091
0.2,100,49307
0.2,150,15000
0.2,170,20000
0.2,190,10000
0.2,200,10317
0.2,210,20000
0.2,220,20000
0.2,250,15000
0.25,10,20000
0.25,20,11089
0.25,30,15313
0.25,60,11665
0.25,90,43652
0.25,100,14278
0.25,120,20000
0.25,200,15000
0.25,220,15000
0.25,250,20000
0.5,20,15900
0.5,30,24561
0.5,40,43671
0.5,50,12924
0.5,60,17705
0.5,70,17050
0.5,80,38899
0.5,90,20137
0.5,100,15000
0.5,110,15000
0.5,130,66651
0.5,160,50000
0.5,180,20000
0.5,200,20000
0.5,210,20000
0.5,250,20000
0.75,10,15773
1.0,10,6849
1.0,20,22620
1.0,30,10385
1.0,40,50669
1.0,60,8302
1.0,70,18790
1.0,80,48098
1.0,90,11737
1.0,100,15000
1.0,200,20000
1.0,210,12813
1.0,240,20000
1.25,10,55200
1.5,10,22806
1.5,20,25193
1.5,50,15566
1.5,60,20166
1.5,70,16513
1.5,80,10575
1.5,90,30000
1.5,150,10000
1.5,170,20000
1.5,180,10000
1.5,190,49269
1.5,200,44658
1.5,210,15000
1.5,220,69817
1.5,250,2
1.75,10,65000
2.0,20,7261
2.0,30,25356
2.0,50,30000
2.0,60,11545
2.0,70,11217
2.0,80,25842
2.0,100,15000
